"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Esp4";9,50064743791338e-295;3,07785492375432;0,921;0,144;1,40913602799131e-290
"Gjb2";3,20515166608526e-226;1,83120436742774;0,847;0,155;4,75388095113765e-222
"BC006965";3,05668378981374e-223;1,29853905607975;0,653;0,066;4,53367339705174e-219
"Ccnd1";1,62134636782278e-221;2,12697815461194;0,852;0,174;2,40478093275474e-217
"Wfdc18";1,53275152468361e-205;3,47468752395522;1;0,498;2,27337706141073e-201
"Car2";1,24395801401571e-193;2,42316502210881;0,966;0,39;1,8450385263881e-189
"Slc13a2";6,7906525121384e-188;1,01666833273615;0,493;0,034;1,00718958060037e-183
"Ano1";5,61620037338029e-184;1,15332556001531;0,65;0,09;8,32994839379765e-180
"Taldo1";4,05020824597199e-161;1,61693303303439;1;0,95;6,00726887042566e-157
"Slc9a3";3,05199045015331e-160;0,862105890906619;0,468;0,042;4,52671223566739e-156
"Tmem176b";6,32865602736398e-157;2,21786011858892;0,998;0,803;9,38666261978625e-153
"Tmem176a";2,06885497426471e-154;2,19668774661857;0,97;0,64;3,06852569782942e-150
"Aox3";2,65739731926881e-143;1,09228467864003;0,626;0,112;3,94145170393951e-139
"Fth1";3,16236894693189e-143;1,26304439666388;1;0,984;4,69042562208938e-139
"Cyp2f2";5,98298501882156e-139;1,927205571379;1;0,77;8,87396337991614e-135
"Ctsh";1,65446755503805e-137;1,56888299471584;0,887;0,462;2,45390627763243e-133
"Il34";5,52202939710256e-134;0,725932724810607;0,48;0,061;8,19027400178252e-130
"Fads2";8,11774275259687e-125;0,661464208998606;0,429;0,048;1,20402360506517e-120
"Spint2";1,37816694751174e-124;1,02060705961091;1;0,973;2,04409721654941e-120
"Mgst1";1,81184292313681e-123;1,44698047626853;0,808;0,294;2,68732542359652e-119
"Pir";3,61404075427379e-119;0,998009746657791;0,502;0,083;5,36034524673889e-115
"Tspan33";1,15306631295711e-116;0,847427819156416;0,537;0,101;1,71022795537798e-112
"Elf5";3,64940105530255e-116;1,29051607022741;0,796;0,311;5,41279164522475e-112
"Lmo4";8,89021575228346e-115;1,35098439067166;0,877;0,52;1,31859680037868e-110
"Cd81";1,13440890939117e-114;1,23586858370487;0,995;0,802;1,68255529440899e-110
"Foxc1";2,77813375263216e-114;1,21907873700634;0,776;0,295;4,12052798190402e-110
"Ehf";2,96193449564323e-113;1,28918251790278;0,98;0,775;4,39314124393804e-109
"Cxcl17";3,61909818601655e-113;1,21484813997383;1;0,818;5,36784642949975e-109
"Cyb5a";9,24100329111716e-112;1,23876343386267;0,993;0,824;1,3706256081385e-107
"Nkd2";1,11673680132619e-111;0,932520173915464;0,554;0,116;1,656344023727e-107
"Gm16136";2,16995309695882e-107;1,23675769013478;0,862;0,477;3,21847443340932e-103
"Enpp3";5,68976345839064e-107;0,964771789251143;0,522;0,111;8,439057161485e-103
"Barx2";3,58081190553134e-104;1,22539001383398;0,808;0,363;5,31106021828408e-100
"Cited4";5,58774580158083e-103;1,20390642005342;0,963;0,687;8,28774457290468e-99
"Wnt5b";9,68485437637834e-103;0,552533442656255;0,379;0,049;1,43645760110443e-98
"Paqr6";9,89683442410332e-101;1,19604064592665;0,756;0,326;1,467898481783e-96
"Myl6";1,05129640506727e-100;0,898747162847305;1;0,967;1,55928282799578e-96
"Pdgfa";2,02830756461864e-100;1,18195263310667;0,867;0,504;3,00838577984236e-96
"Clec2d";3,05343691479298e-100;1,0847099823062;0,983;0,798;4,52885763202095e-96
"Aldoc";9,08352260677052e-97;1,10597330822202;0,628;0,191;1,3472680730362e-92
"Gpc6";2,49160457146792e-96;0,491746527922273;0,315;0,031;3,69554790040122e-92
"Vamp5";1,11507829558285e-95;1,03985920914037;0,697;0,262;1,65388412800848e-91
"Bst1";8,1044679113652e-92;0,506914695980188;0,283;0,026;1,20205468061369e-87
