"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Gm26917";6,53016228574566e-199;4,20541469055066;0,969;0,41;9,68553670221796e-195
"Gm42418";3,06257439810478e-192;2,47831735431961;1;1;4,54241034726901e-188
"Lars2";3,25572898835821e-126;1,87195835879589;0,984;0,624;4,82889723553289e-122
"Scgb1b27";2,69758694125041e-118;-0,455237746232458;1;0,999;4,00106095126261e-114
"Scgb2b27";1,98498627973378e-107;-0,603717102992367;1;0,995;2,94413165010114e-103
"Cd9";3,24900935841286e-106;-1,10796202534951;1;0,957;4,81893068039795e-102
"Prol1";6,36249703778722e-100;-0,264594233324662;1;0,992;9,436855606446e-96
"Car6";1,51160415917527e-83;-0,886052536330421;0,996;0,892;2,24201128888876e-79
"Rpl9";2,15558823458519e-83;-0,925280390773898;1;0,985;3,19716846953675e-79
"Eef1a1";1,64089966212469e-82;-0,891239435470651;1;1;2,43378237886334e-78
"Tpt1";1,17177543080786e-81;-0,840276993156246;1;1;1,73797731897421e-77
"Scgb2b26";2,07133190519808e-79;-0,333623628826883;0,996;0,908;3,0721994817898e-75
"Rps27a";9,40813696809711e-75;-0,882159641031419;1;0,993;1,39541487510816e-70
"Itm2b";3,69199295058858e-72;-1,12183307820112;0,998;0,96;5,47596394431299e-68
"Yif1a";1,70060691934065e-68;-0,670716664362018;0,049;0,531;2,52234018276605e-64
"Rps3a1";4,41170022588591e-68;-0,887774533158974;1;0,991;6,54343377503398e-64
"Btf3";2,38964354570124e-67;-0,740650951370202;1;0,953;3,54431930698408e-63
"Rps24";6,15607988177331e-67;-0,786068421227849;1;0,997;9,13069768064617e-63
"Rpl21";1,88226370723043e-66;-0,811982996486898;1;0,996;2,79177353056417e-62
"Rplp0";2,37722420405778e-66;-0,802949382524948;1;0,997;3,5258989394585e-62
"Rplp1";2,61664266767795e-66;-0,78561910070669;1;1;3,88100440469994e-62
"Rpl23";3,09492051239057e-66;-0,765004244350151;1;0,997;4,59038610397769e-62
"Rps16";3,41480107994381e-66;-0,78484950783134;1;0,991;5,06483296177266e-62
"Rpl10";2,13220846738038e-65;-0,717393905234851;1;0,983;3,16249159881857e-61
"Rps10";3,06111918108235e-64;-0,829162804188259;1;0,993;4,54025196938134e-60
"Rps20";5,32891679334759e-64;-0,828403663984163;1;0,993;7,90384938789315e-60
"Rpl30";2,02192113194099e-63;-0,752331503060456;1;0,988;2,99891342289488e-59
"Rps3";2,56565793985601e-63;-0,76788176921493;0,998;0,984;3,80538385639444e-59
"Rps7";7,98211810089233e-63;-0,822307562949389;1;0,991;1,18390775672435e-58
"Rps4x";4,88902739983136e-62;-0,839919389271996;1;0,995;7,25140543942988e-58
"Emc4";2,18520535128653e-61;-0,629801307718661;0,07;0,53;3,24109657702818e-57
"Epcam";2,53122295564521e-61;-0,972456629770005;0,998;0,963;3,75430988781298e-57
"Tmsb4x";3,66133721380018e-61;-1,14926280847578;1;0,984;5,43049535550843e-57
"Rpl15";4,49189034012022e-60;-0,791127480811106;1;0,981;6,6623717524663e-56
"Malat1";6,69685520385038e-60;1,02734069585854;1;1;9,93277563835088e-56
"Alg5";3,7311192320017e-59;-0,629393862658512;0,052;0,49;5,53399604490492e-55
"Rpl27a";5,20590603614501e-59;-0,69403022857942;1;0,994;7,72139983281028e-55
"Rpl32";9,01773452796019e-59;-0,843055124148191;1;0,998;1,33751038518706e-54
"Actg1";1,48309320468722e-58;-1,58972372103207;1;0,98;2,19972384119208e-54
"Rps21";2,02424401026896e-58;-0,656882362846157;1;0,993;3,00235871603092e-54
"Rps14";1,18065812112448e-57;-0,666398218055948;1;0,998;1,75115212525183e-53
"Klk1";1,7412895943836e-57;-0,77085758312498;1;0,998;2,58268072638975e-53
"Rps5";2,9797051653342e-57;-0,69081688284017;1;0,989;4,41949870122369e-53
"Rps15a";3,88405424803727e-57;-0,777413284942885;1;0,977;5,76082926068888e-53
"Rab11a";4,98883657818309e-57;-0,626661103172441;0,078;0,521;7,39944241276116e-53
"Smgc";5,99940867179501e-57;-4,0384043794219;0,996;0,92;8,89832294200636e-53
"Rpl8";8,42309276407767e-57;-0,673978984943202;1;0,995;1,249313118768e-52
"Pdia6";1,45065613819201e-56;-0,650935520808005;0,067;0,503;2,15161318416639e-52
"Rwdd1";1,74514879775134e-56;-0,602363144292679;0,074;0,516;2,58840469682478e-52
"Tmem11";2,94682169583944e-56;-0,649098737167966;0,07;0,503;4,37072593926906e-52
"Rps2";4,65705195165622e-55;-0,673331246726532;1;0,982;6,90733945469651e-51
"Ier3ip1";5,35775584629379e-55;-0,581414637951787;0,087;0,53;7,94662347122295e-51
"Phf5a";8,56825856450304e-55;-0,57009265633097;0,07;0,507;1,27084411028709e-50
"Vps29";2,50170059856091e-54;-0,549278634557596;0,087;0,532;3,71052232778554e-50
"Krt18";4,42208758456109e-54;-1,29336033167577;1;0,984;6,55884030542101e-50
"Polr2c";8,52599451651954e-54;-0,539069156249647;0,083;0,521;1,26457550669018e-49
"Prdx4";8,70405655089855e-54;-0,731785982304688;0,045;0,448;1,29098566762927e-49
"Lsm12";1,57789634964567e-53;-0,566980494163667;0,078;0,509;2,34033586579446e-49
"Rpl18";2,30292920975518e-53;-0,663890101135556;1;0,989;3,41570460390889e-49
"Rpl7";4,7781884869814e-53;-0,703579199193345;1;0,986;7,08700916389081e-49
"Sptssa";4,99392402584031e-53;-0,576139032397892;0,081;0,508;7,40698811512635e-49
"Rpl28";5,00118392491171e-53;-0,701522885356423;1;0,995;7,41775599742905e-49
"Ube2e3";8,13992206991915e-53;-0,546074089653985;0,081;0,512;1,20731324141041e-48
"Hsd17b12";9,97649545804909e-53;-0,56541293431035;0,063;0,479;1,47971380633784e-48
"Rps9";1,16988932433083e-52;-0,648918852717064;0,998;0,991;1,73517984584749e-48
"Ube2a";1,29795598988385e-52;-0,564880885461247;0,076;0,498;1,92512832419573e-48
"Klk1b5";1,56535727167789e-52;-0,601165535760983;0,946;0,446;2,32173790535265e-48
"Rap1a";2,12360327796819e-52;-0,574208464734379;0,083;0,514;3,14972838188242e-48
"Fau";2,76765036960285e-52;-0,629437928910565;1;0,994;4,10497902819495e-48
"Sys1";3,44026380160551e-52;-0,652776223124746;0,087;0,506;5,10259927054129e-48
"Chmp5";6,61995452417236e-52;-0,576549939561276;0,092;0,52;9,81871655025245e-48
"Cript";7,23650502663749e-52;-0,576549939561276;0,092;0,519;1,07331842555087e-47
"Mrpl27";8,93741392697526e-52;-0,529884974396767;0,061;0,472;1,32559723364897e-47
"Son";1,49483262038572e-51;0,881283926788131;0,993;0,895;2,2171357425561e-47
"Ninj1";1,78864774746923e-51;-0,601596047800963;0,067;0,477;2,65292233904636e-47
"Copb2";2,03381216974236e-51;-0,53332911145092;0,07;0,486;3,01655021016187e-47
"Plpp2";2,8039253256078e-51;-0,572253997620437;0,058;0,465;4,15878204294148e-47
"Rpl13";2,8617877557408e-51;-0,665727213785823;1;0,998;4,24460359931475e-47
"Tmem59";3,63050918231715e-51;-0,77050933144637;0,993;0,922;5,38477121921279e-47
"Rpl41";4,75534536658441e-51;-0,648683589766574;1;1;7,053128247718e-47
"Rpl19";5,60719358069394e-51;-0,613835550899452;1;0,996;8,31658951888526e-47
"Txndc15";5,9383395276306e-51;-0,56334919932004;0,061;0,46;8,8077451873817e-47
"Tm2d2";5,95599816360821e-51;-0,536653295043485;0,067;0,481;8,83393647626369e-47
"Rpl39";6,21117345485314e-51;-0,686041618267299;1;0,985;9,21241246823818e-47
"Vkorc1";6,394037908741e-51;-0,577436745713854;0,043;0,433;9,48363702624465e-47
"Eif1ax";7,02641648421239e-51;-0,563350441806417;0,096;0,523;1,04215809293838e-46
"Tex264";1,36702569372725e-50;-0,547724843302516;0,054;0,45;2,02757250893626e-46
"Ifnar2";1,83667068988834e-50;-0,586694016044434;0,052;0,444;2,72414996724239e-46
"Naca";2,94723768097161e-50;-0,699623712092837;0,998;0,976;4,37134292841709e-46
"Mrps18a";2,95373778290111e-50;-0,514696762233906;0,096;0,523;4,38098387959893e-46
"Tex261";3,08818249159469e-50;-0,526920776333477;0,058;0,459;4,58039227153325e-46
"Slc50a1";3,29589467695658e-50;-0,551516242116185;0,083;0,505;4,88847098486199e-46
"Eif4ebp1";4,00764618958677e-50;-0,702243931542454;0,058;0,454;5,9441408283951e-46
"Cd47";4,30286260340823e-50;-0,629511746973743;0,112;0,524;6,38200581337508e-46
"Ufm1";4,8428421861704e-50;-0,518171815356382;0,085;0,506;7,18290353052795e-46
"Tmem128";5,87461608509052e-50;-0,574209719604261;0,052;0,442;8,71323057740626e-46
"Actr3";1,29519944146625e-49;-0,593919642121999;0,087;0,502;1,92103981158275e-45
"Ubb";1,74131473666572e-49;-0,8436302373501;1;0,986;2,5827180174226e-45
"Rpl11";2,30509669850267e-49;-0,607112260588523;1;0,995;3,41891942321916e-45
"Dnajb11";2,43528305071349e-49;-0,543591650901915;0,061;0,458;3,61201182081824e-45
"Mettl9";3,11388743810323e-49;-0,513353826066339;0,096;0,522;4,61851784819471e-45
"Mrps28";4,34528264961355e-49;-0,523619958730908;0,076;0,483;6,44492322590682e-45
"Ptpmt1";4,54222599563592e-49;-0,557623156730733;0,085;0,5;6,7370295967272e-45
"Pmpcb";4,97527498156502e-49;-0,519089752896867;0,092;0,515;7,37932785265725e-45
"Tspan31";6,2028200937848e-49;-0,540214848721161;0,049;0,428;9,20002276310162e-45
"Fth1";8,35341126846218e-49;-0,731257284799179;1;0,984;1,23897795933831e-44
"Il11ra1";1,14012758989672e-48;-0,564212966091084;0,04;0,416;1,69103724133481e-44
"Hprt";1,37704285651204e-48;-0,539512262355466;0,083;0,493;2,04242996477866e-44
"Rala";1,57310496477332e-48;-0,534886666166247;0,087;0,502;2,33322928375179e-44
"Lrpap1";1,89258028271575e-48;-0,558736461892897;0,063;0,451;2,80707507532399e-44
"Cd63";1,94872207443025e-48;-0,832823665875806;0,984;0,922;2,89034458079494e-44
"Cers2";1,99512357018046e-48;-0,534618808493549;0,101;0,523;2,95916727929166e-44
"Tmbim6";2,03901313625197e-48;-0,604845593102702;0,998;0,962;3,02426428368891e-44
"Rpl18a";2,03916529963054e-48;-0,624310457279019;1;0,991;3,02448997241202e-44
"Tm2d3";2,46018008738896e-48;-0,546939399771597;0,056;0,437;3,64893910561531e-44
"Ebp";3,20965132830048e-48;-0,570682325856721;0,168;0,559;4,76055485013527e-44
"Rps27";3,63893263765691e-48;-0,600170026049502;1;0,983;5,39726488817274e-44
"Acp1";3,99720532659186e-48;-0,525696800684132;0,094;0,51;5,92865494040104e-44
"Aprt";8,15054273299733e-48;-0,558253216138577;0,085;0,494;1,20888849815816e-43
"BC004004";8,32718560583667e-48;-0,528445727284198;0,072;0,47;1,2350881690577e-43
"Rpl37";1,62857257283588e-47;-0,620934992634686;1;0,995;2,41549884003017e-43
"Eif3d";1,83723228306822e-47;-0,498734680676794;0,094;0,504;2,72498292224678e-43
"Rps13";2,53684330149376e-47;-0,599598468718147;1;0,982;3,76264598477555e-43
"Pdcl3";3,27810851723978e-47;-0,507372972577956;0,094;0,501;4,86209055277004e-43
"Pcmt1";3,31913048588302e-47;-0,50240553352091;0,078;0,475;4,9229343366617e-43
"Pak1ip1";4,50280901351951e-47;-0,525330733283154;0,099;0,506;6,67856632885214e-43
"Cetn3";4,63787203169713e-47;-0,550270614762427;0,096;0,506;6,87889179741319e-43
"Commd3";4,666569692107e-47;-0,491346781606986;0,105;0,523;6,9214561673331e-43
"Tm2d1";5,06960239091576e-47;-0,535509523590645;0,067;0,457;7,51923426620626e-43
"Pam16";8,84877816405761e-47;-0,566668923697059;0,128;0,527;1,31245077729302e-42
"Mkrn1";1,0447028362059e-46;-0,518984258030754;0,074;0,464;1,54950324666059e-42
"Laptm4a";1,05049869988184e-46;-0,664757634932612;0,993;0,94;1,55809967166474e-42
