"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Pam";0;2,02614719859319;0,982;0,375;0
"Itih5";0;1,7645831439012;0,849;0,064;0
"Trp53i11";0;1,11948780081139;0,675;0,048;0
"Slc4a11";0;2,16395325073602;0,957;0,089;0
"Gnas";0;1,79148368756324;1;0,988;0
"S100a6";0;2,61398666197949;0,954;0,264;0
"Atp6v0d2";0;1,76855716727475;0,975;0,3;0
"Tspan1";0;1,85746192003851;0,925;0,266;0
"Clcnka";0;1,19661790779018;0,598;0,043;0
"Ociad2";0;1,48745606157811;0,872;0,155;0
"Stap1";0;3,10270008270165;0,991;0,082;0
"Hepacam2";0;2,38931308430011;0,984;0,096;0
"Pde1c";0;1,46810923879209;0,863;0,152;0
"Itpr2";0;1,86270945260295;0,97;0,357;0
"Aldh1a3";0;2,16369920893061;0,945;0,096;0
"Ascl3";0;2,81202727049367;0,92;0,08;0
"Nrip3";0;1,47413328048701;0,775;0,07;0
"Cpxm2";0;1,50825473734785;0,803;0,052;0
"Pdlim3";0;1,72316082832692;0,912;0,173;0
"Hexa";0;1,37003136506841;0,896;0,226;0
"Gprc6a";0;0,864814901236531;0,522;0,019;0
"Foxi1";0;1,94056142819763;0,791;0,057;0
"Gng4";0;1,1755001197361;0,668;0,043;0
"Serpinb9";0;2,09267838173255;0,906;0,204;0
"Khdrbs3";0;1,19026115841052;0,769;0,123;0
"App";0;1,92273949376185;1;0,778;0
"Rcan2";0;1,82372009357636;0,893;0,059;0
"Colec12";0;0,907426832729479;0,61;0,035;0
"Dsc3";0;1,15360947607628;0,654;0,054;0
"Aldh1a1";0;1,48941967734095;0,809;0,085;0
"2610016A17Rik";0;1,0479968688335;0,593;0,036;0
"Neurl1a";1,02189226915088e-307;0,843492429012669;0,553;0,033;1,57555350057682e-303
"Ldhb";4,11671827065553e-307;2,08811178558577;0,994;0,61;6,34715622969669e-303
"Rbpms";8,99226083939925e-307;1,90882678348549;0,987;0,445;1,38642677621858e-302
"Mal";1,94990987816126e-305;1,53873367432052;0,927;0,251;3,00637105014903e-301
"Slc12a2";1,86141536654805e-302;2,09835766230303;1;0,672;2,86993021214379e-298
"Btg3";1,41373746581518e-300;1,45272389307646;0,905;0,241;2,17970042479384e-296
"Kcnj8";4,63546018051169e-299;1,0985566496826;0,525;0,028;7,14695250631293e-295
"Fgf10";7,26242043284991e-297;0,891467804085113;0,563;0,039;1,1197199823368e-292
"Atp6v0b";2,04429649454276e-295;1,61440265896747;1;0,876;3,15189633528603e-291
"Atp6v0c";1,15176671185156e-290;1,62771081307529;1;0,901;1,77579391633273e-286
"Atp6ap2";5,30474862976495e-289;1,72505816081319;0,981;0,533;8,1788614373716e-285
"Pdlim4";7,70385108973897e-289;1,65172879191562;0,96;0,317;1,18777976101595e-284
"Plcg2";3,56229780769497e-287;1,12454153793026;0,763;0,128;5,49235075990411e-283
"Asgr1";1,541258469212e-283;1,97761926779348;0,954;0,39;2,37631230783106e-279
"Apobec3";7,33515888833942e-280;1,57665963215529;0,933;0,303;1,13093479740417e-275
"Plxna4";5,23419530443435e-277;1,20933739862699;0,779;0,144;8,07008232037689e-273
"Vwf";9,49991658988657e-276;1,12386806833575;0,58;0,056;1,46469713982871e-271
"Cox7a1";1,22071719499368e-272;1,55302931982877;0,885;0,243;1,88210177124125e-268
"Aplp2";5,08462261166513e-272;1,56265820326651;0,997;0,775;7,8394711426653e-268
"Ncald";9,52252022147608e-271;1,76159979122718;0,975;0,502;1,46818216774718e-266
"Nupr1";1,47578868486049e-258;2,28961036549227;1;0,958;2,2753709943179e-254
"Atp6v1e1";2,76572960003085e-258;1,52700242619093;0,993;0,717;4,26420189732757e-254
"Gm16233";1,23670788560821e-257;1,02027429872721;0,469;0,028;1,90675621803074e-253
"Ly6e";1,29675149054565e-256;1,51498498926468;1;0,819;1,99933144812329e-252
"Atp6v1g3";1,61568431517779e-256;1,27800024297284;0,428;0,018;2,49106207714112e-252
"Uqcr10";3,08242210395995e-256;1,40232465427438;0,999;0,935;4,75247839988545e-252
"Vps36";3,36378196579766e-255;1,72978853645094;0,918;0,405;5,18627903486682e-251
"Tmem61";4,04873155711358e-255;0,914247461116322;0,554;0,056;6,24233431475771e-251
"Ifi27l2a";4,83687747878541e-251;2,61830488583738;0,991;0,72;7,45749769679135e-247
"Adgrf5";1,26957048452754e-248;0,956389864572844;0,581;0,068;1,95742377304456e-244
"Ndufa4";5,37819577985049e-248;1,3340581715747;1;0,954;8,29210225337349e-244
"Tmem171";5,8496204442933e-248;1,04985552594944;0,69;0,12;9,0189448010114e-244
"Ndfip1";6,42956774595909e-248;1,29461114167683;0,997;0,789;9,91310755071972e-244
"Cox8a";4,51383277861028e-247;1,20199092936751;1;0,978;6,95942737806133e-243
"Elob";1,73456766680897e-243;1,25760829173115;0,999;0,92;2,67435642868607e-239
"Gapdh";2,38963942120568e-242;1,34144992873943;1;0,944;3,68434605961492e-238
"Slc16a11";2,9185297612749e-242;1,42826514946002;0,948;0,362;4,49978918593364e-238
"Ifitm3";4,07274714143599e-239;1,85524500359415;0,996;0,681;6,27936154266601e-235
"Cycs";1,298229016876e-238;1,42183056989371;0,994;0,775;2,00160949821941e-234
"Pfkp";9,80902640632321e-236;1,142457450838;0,83;0,236;1,51235569132691e-231
"Atp6v1b1";5,47872566207719e-234;0,983073514592163;0,727;0,146;8,44709922579061e-230
"Tle5";1,32721555092281e-232;1,19751887010636;0,999;0,937;2,04630093641278e-228
"Syn2";3,38667869610499e-232;0,615453090644103;0,435;0,027;5,22158121365468e-228
"Slc9a4";2,65445235679016e-229;0,629123763044532;0,446;0,031;4,09263464369906e-225
"Anxa1";2,67848257793904e-229;1,82042550498468;1;0,825;4,12968443866641e-225
"Pgam1";3,66632042988542e-229;1,41602392177229;0,976;0,619;5,65273283879735e-225
"Shisa5";6,65965233308457e-229;1,34226343691613;0,945;0,424;1,02678519671498e-224
"Ckap2";3,06423080994712e-227;0,910344683260951;0,474;0,04;4,72443106277647e-223
"Entpd1";8,55450222298752e-225;0,780095931107763;0,483;0,045;1,31893315274022e-220
"Scnn1b";1,04892149932706e-224;1,30963617286122;0,917;0,285;1,61722716766246e-220
"Atp6v1d";1,65010540990277e-224;1,33097453821703;0,978;0,602;2,5441325209881e-220
"Atp5e";1,87233530541934e-224;1,11355944545452;1;0,991;2,88676657389554e-220
"Cox6c";3,27558176173972e-222;1,15580917695352;1;0,965;5,05029196025029e-218
"Tpi1";1,16523312022478e-221;1,23629862131592;0,997;0,897;1,79655642476256e-217
"Serinc3";8,13726999443308e-221;1,31958927736807;0,927;0,414;1,25460428774169e-216
"Calm1";1,34138938183808e-220;1,36136578305001;0,997;0,915;2,06815414891796e-216
"Ckmt1";1,84386771051474e-220;1,47776586921202;0,994;0,72;2,84287523607163e-216
"Eno1";8,00451240990142e-218;1,31476831764864;0,982;0,704;1,2341357233586e-213
"Steap2";8,39926690873498e-218;0,60131389978996;0,396;0,022;1,29499897198876e-213
"Fxyd2";2,5802502865709e-217;1,75996041248371;1;0,749;3,97822989183502e-213
"Got1";4,09234542740205e-217;1,14041776901972;0,821;0,263;6,30957817996849e-213
"Bik";9,01640806262523e-215;1,37370593910435;0,836;0,3;1,39014979509556e-210
"Gmpr";1,22994134689892e-214;0,696415069942655;0,456;0,041;1,89632356864876e-210
"Uqcrb";2,25739800891192e-214;1,1669954203586;1;0,946;3,48045625014041e-210
"Hspb7";6,47986307352355e-213;0,639125592567251;0,432;0,033;9,99065288675861e-209
"Serinc2";8,44931055363131e-209;1,02398341104983;0,793;0,232;1,30271470115888e-204
"Atpif1";9,00404885477111e-209;1,20979881490052;1;0,848;1,38824425242861e-204
"Prdx2";3,24768060519244e-206;1,13651195097788;0,994;0,881;5,0072739570857e-202
"Myo1b";7,43204031386533e-206;0,941121517775307;0,718;0,17;1,14587197559176e-201
"Atp5b";4,81735446789445e-203;1,06229966433103;1;0,976;7,42739711859966e-199
"Cidea";1,43441770412699e-201;0,668666678761748;0,408;0,031;2,211585216223e-197
"Serpinb6b";3,42264002856254e-199;1,41578964828558;0,945;0,395;5,27702639603773e-195
"Bmp3";5,16714122191529e-199;0,539450055988439;0,355;0,018;7,966698335949e-195
"1700025G04Rik";2,78510681466844e-198;0,773344072266472;0,538;0,078;4,2940776868558e-194
"Iscu";1,33186547319257e-197;1,17227854269449;0,94;0,521;2,05347018656831e-193
"Foxi2";6,18096817937918e-197;0,705332501560251;0,393;0,028;9,52981673896682e-193
"Tmem59";7,19972057140108e-196;1,07511863099925;1;0,853;1,11005291769862e-191
"Litaf";1,01269532993726e-195;1,30031537324606;0,833;0,313;1,56137365969726e-191
"Cox7a2";9,09523155358259e-195;1,06015228528828;1;0,962;1,40230280093136e-190
"Tm6sf1";1,57726349400906e-193;0,592438603532751;0,362;0,021;2,43182485506316e-189
"Tmem9b";2,63549675835579e-192;1,10312055341877;0,82;0,313;4,06340890203295e-188
"Prdx5";4,67528171208411e-192;1,18727438889785;0,999;0,837;7,20834934369127e-188
"Rnf130";6,73488570291682e-189;1,13080959882891;0,914;0,437;1,03838467767571e-184
"Tmprss13";9,09950681725332e-187;0,790360162975503;0,569;0,101;1,40296196108412e-182
"Sh3bgrl2";2,37846270217009e-186;0,920310109243907;0,721;0,198;3,66711379420585e-182
"Krt7";2,48512259111814e-186;1,14709078725655;1;0,709;3,83156201098595e-182
"Laptm4a";7,36577492363016e-185;1,0592783042387;0,997;0,893;1,1356551777253e-180
"Ptms";1,29328949674521e-184;1,04562169314993;0,988;0,82;1,99399374608177e-180
"Atp5md";1,45942983521595e-182;1,05819476175941;0,996;0,89;2,25014891993595e-178
"Cst3";2,18554214669893e-182;1,00034735188236;0,896;0,349;3,3696688817804e-178
"Rnasek";6,49226426173988e-182;1,09031056221818;1;0,898;1,00097730387505e-177
"Cldn7";9,7920467527674e-182;1,19684199079877;0,993;0,772;1,50973776834168e-177
"Dmrt2";1,92722248941849e-181;0,68668752496502;0,374;0,029;2,97139163418543e-177
"Cpne8";3,28871579944533e-181;0,935968153783999;0,724;0,202;5,07054201958481e-177
"Anxa5";2,14327616418765e-180;1,14085197402416;0,958;0,614;3,30450318994452e-176
"Atp5d";1,39235773515573e-178;0,922596422163798;1;0,982;2,14673715606311e-174
"Ndufa13";2,30807013666176e-176;0,918783516741551;0,999;0,961;3,55858253670511e-172
"Inpp1";5,23718454801365e-176;0,605784439034377;0,45;0,057;8,07469113612744e-172
"S100a1";5,23776998820013e-176;1,33288389820013;0,999;0,83;8,07559376780697e-172
"Chchd10";1,1887684676747e-175;0,993408519210497;1;0,963;1,83284322346085e-171
"Wdr72";1,19661286245346e-173;0,700571623650638;0,538;0,095;1,84493771133075e-169
"Atp5l";2,01075178518728e-173;0,943392548319619;0,999;0,959;3,10017710240176e-169
"Parm1";4,58800304573432e-173;0,828821574620041;0,69;0,184;7,07378309591317e-169
"Ndufa12";7,42788308267744e-173;0,9945676023293;0,996;0,848;1,14523101368721e-168
"Slc43a2";2,21223969049053e-171;0,750057133507379;0,56;0,109;3,4108311547983e-167
"Tspan8";2,90878312008507e-171;1,15212419446726;0,967;0,516;4,48476181454716e-167
"Atp5h";9,15082039334456e-171;0,90824177974387;1;0,963;1,41087348824586e-166
"Gm13075";1,52506297382172e-170;0,631494510791624;0,396;0,041;2,35134209303833e-166
"Pnpla2";2,39969790484212e-170;1,08356335625658;0,923;0,519;3,69985422968558e-166
"Ldha";4,92287982538269e-170;1,05014578271217;0,991;0,807;7,59009611477504e-166
"Gde1";1,63237305527191e-169;1,10288938240875;0,96;0,618;2,51679277661823e-165
"Clnk";1,35837190844934e-168;0,474019984278093;0,32;0,019;2,09433780844718e-164
"Aldoa";1,47119966704777e-168;1,01068312577635;0,999;0,924;2,26829564665425e-164
"Cystm1";2,64774962126493e-168;1,04858302420446;0,982;0,782;4,08230036606627e-164
"1810037I17Rik";5,89156412939791e-168;1,05016904004086;0,955;0,614;9,0836135747057e-164
"Cox7c";6,27885058366802e-168;0,906498778280945;1;0,985;9,68073182989935e-164
"Tceal9";1,22012574288839e-167;1,11056314549761;0,99;0,872;1,88118987038532e-163
"Pax9";5,61275558903115e-167;1,02639034622634;0,763;0,267;8,65374656716823e-163
"Ccpg1";1,17532892154604e-166;1,11033216490068;0,902;0,472;1,81212213123968e-162
"Ndufa11";1,35543761590061e-166;0,963616475502068;0,994;0,893;2,08981371619557e-162
"Acsl4";1,69293047776464e-164;0,727001673292699;0,55;0,11;2,61016021061752e-160
"Cd63";2,6230919313787e-164;1,08901679163821;0,993;0,911;4,04428313979968e-160
"Cox5a";4,05842121316448e-164;0,984694888304567;0,999;0,918;6,25727382645699e-160
"Jam2";4,50330781245965e-164;0,729113823544715;0,554;0,111;6,94319998525029e-160
"Cox6a1";7,60916765526864e-164;0,926923133290975;0,997;0,925;1,17318146908932e-159
"Atp5j";8,69778611971337e-164;0,888213321617607;1;0,977;1,34102466393741e-159
"Kcnma1";7,88303392445264e-163;0,969593654080138;0,817;0,31;1,21540617047211e-158
"S100a13";3,04927200855605e-161;1,14456428389704;0,878;0,418;4,70136758279172e-157
"Bsnd";5,11502184489884e-161;0,698728135924384;0,526;0,096;7,88634068046503e-157
"Tmbim4";1,11727681349749e-158;0,971040186796444;0,961;0,727;1,72261739105044e-154
"Atp6ap1";1,26134677749637e-158;1,00014134837905;0,855;0,411;1,94474446154391e-154
"Pakap.1";2,9807069924289e-158;0,720243767675305;0,538;0,109;4,59565404092688e-154
"Atp6v1g1";7,26695130324123e-158;1,01300063861278;0,975;0,6;1,12041855193373e-153
"Tsc22d1";2,92890706132624e-157;1,33359358960686;0,982;0,69;4,51578890715279e-153
"Cox5b";3,47544156059391e-157;0,879358028644163;1;0,952;5,3584357981237e-153
"Atp5g1";7,80385799813701e-157;0,946028183346934;0,999;0,956;1,20319882615276e-152
"Uqcrh";6,5373268574683e-156;0,861461438774347;1;0,964;1,00792505488446e-151
"Idh3a";4,23827907846591e-155;0,993011307682924;0,93;0,494;6,53457868317873e-151
"Elf3";8,47242183539127e-154;1,13690923750388;0,951;0,528;1,30627799858063e-149
"Ctsl";1,54164897713e-152;0,977128698274071;0,985;0,751;2,37691439293904e-148
"Arpc1b";2,89935203545939e-152;1,00136717626343;0,972;0,734;4,47022096827128e-148
"Eif1";3,23418433571668e-152;0,861421937693919;1;0,973;4,98646540880797e-148
"Atp6v1f";7,2605697104864e-152;1,00891822740884;0,993;0,88;1,11943463796279e-147
"Cftr";8,0346152940559e-152;0,83259035894488;0,62;0,163;1,23877698603754e-147
"Mboat2";6,08051505411889e-151;0,55019868987863;0,426;0,062;9,3749381104405e-147
"Ppia";7,0272461007443e-151;0,835472109405755;1;0,985;1,08346080381276e-146
"Cebpd";2,2405106399422e-150;1,63010018202687;0,961;0,752;3,45441930466288e-146
"Ucp2";1,38479374667467e-149;1,02846200394093;0,881;0,454;2,13507499862301e-145
"Tspo";3,5178779269214e-149;0,948660437343427;0,985;0,848;5,42386418772742e-145
"Ndufb1-ps";8,13042854462315e-149;0,926125110855562;0,987;0,878;1,25354947301e-144
"Gnai2";2,38174575255888e-148;0,973587977154967;0,887;0,461;3,67217560129528e-144
"Marc2";9,49789223241789e-148;0,939135815905367;0,99;0,814;1,46438502439419e-143
"Gria3";9,84175536866373e-148;0,670211769942327;0,505;0,099;1,51740184274057e-143
"Fam189a2";1,23036515267764e-147;0,951318383240625;0,864;0,358;1,89697699239839e-143
"Slc25a4";1,30789156867226e-147;1,0091807105876;0,979;0,74;2,0165072205789e-143
"Rplp1";2,10898925341946e-147;0,76331292896407;1;1;3,25163963092213e-143
"Cab39";2,85558712148154e-147;1,01202185073391;0,842;0,409;4,40274422390024e-143
"Cxadr";1,75385731871302e-146;1,03281496619969;0,729;0,246;2,70409721399173e-142
"Fcgrt";7,28401473177302e-146;0,708769016905834;0,632;0,169;1,12304939134476e-141
"Pkm";2,18596728774651e-145;0,954982416771789;0,985;0,807;3,37032436424758e-141
"Cnih4";3,08287258686748e-145;1,0070605620842;0,869;0,428;4,75317295443228e-141
"Timm17a";1,06414421486412e-144;0,912245313986332;0,928;0,536;1,64069755047751e-140
"Plcb1";2,16633845794555e-144;0,597651415079007;0,455;0,079;3,34006063446044e-140
"Atp1b1";2,21983991061834e-144;0,936357465210295;1;0,933;3,42254917419136e-140
"Stx7";3,82439186692203e-144;0,961942968361536;0,933;0,477;5,89644738042038e-140
"Ndufc1";8,43785736782995e-144;0,940541561472365;0,985;0,877;1,30094884897202e-139
"Kif5b";5,62694808713693e-143;0,940966505051407;0,964;0,681;8,67562856074772e-139
"Klhl5";1,04949006775395e-142;0,795317398542642;0,635;0,188;1,61810378646304e-138
"Pfdn5";2,00908303364139e-141;0,812930923520191;0,999;0,94;3,0976042212683e-137
"Hip1";3,38419320882342e-141;0,432168422834147;0,303;0,025;5,21774908936395e-137
"Ndufb10";1,41403539171721e-140;0,855523432847647;0,996;0,874;2,1801597669496e-136
"Vdac1";1,76228323628858e-140;0,900206665422334;0,982;0,761;2,71708829370973e-136
"Gnaq";5,87532690037367e-140;0,83468465758461;0,717;0,261;9,05857901499613e-136
"Atp5c1";7,21499918424991e-140;0,84877732267327;0,997;0,899;1,11240857422765e-135
"Ctsz";1,44348528415352e-139;0,922885739289395;0,911;0,506;2,2255656111079e-135
