"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Agt";4,78618311034508e-70;1,69726145995274;0,97;0,159;7,37933711953005e-66
"Mucl1";1,51136386694956e-60;1,82468306890966;0,848;0,159;2,33022081006283e-56
"Pigr";6,23472065130929e-60;1,63765695618891;0,818;0,129;9,61269230018866e-56
"Lpo";7,10751646005392e-55;1,24151231043761;0,848;0,139;1,09583688781111e-50
"Kcnn4";5,29801477208869e-48;1,04398437942815;0,803;0,145;8,16847917560634e-44
"Oit1";8,1508012168881e-48;1,16547342534855;0,773;0,133;1,25669053161981e-43
"Cox8a";1,38256342291723e-36;-3,33108231314538;0,545;0,989;2,13163628545378e-32
"Atp5j";1,14467912092826e-34;-2,40295957786236;0,682;0,986;1,7648662686472e-30
"Ppia";1,17830780016514e-34;-2,82573358700291;0,727;0,992;1,81671496629461e-30
"Prdx1";2,55751394268479e-34;-2,5329230967886;0,242;0,938;3,94317499683141e-30
"Cox7c";3,7434637379639e-34;-2,55521353152471;0,712;0,992;5,77167239119275e-30
"Rpl9";8,33770783573719e-34;-2,88760189032915;0,803;0,992;1,28550779411396e-29
"Cd9";1,14530787170766e-33;-3,14002003104962;0,394;0,956;1,76583567659886e-29
"Oaz1";1,63711092862966e-33;-2,33405374855285;0,545;0,976;2,5240976297612e-29
"Eif1";2,80326793335175e-33;-2,79955996124162;0,667;0,983;4,32207849964173e-29
"Cox5a";3,80948858878452e-33;-2,6542285460505;0,333;0,942;5,87346950618798e-29
"Cox6b1";3,87256141942372e-33;-2,52634851124785;0,485;0,964;5,9707151964675e-29
"Cox5b";4,15813877223653e-33;-2,52705264276697;0,47;0,968;6,41101835903428e-29
"Atp5f1";7,31754683766441e-33;-2,23314740046231;0,258;0,925;1,1282193714311e-28
"Ubb";8,15307406977176e-33;-3,13027068356727;0,864;0,993;1,25704096007741e-28
"Atp5g2";8,48799276360686e-33;-2,31357857605108;0,333;0,941;1,30867872429291e-28
"Rpl17";1,07888845470459e-32;-2,36359533297351;0,758;0,997;1,66343021946353e-28
"Cox7a2";1,08361103653854e-32;-2,46554973915618;0,53;0,976;1,67071149613513e-28
"Chchd2";1,23508123336405e-32;-2,35337359275402;0,727;0,988;1,90424824560069e-28
"Rps27";1,39301787710956e-32;-2,41639630018427;0,712;0,993;2,14775496292752e-28
"Rps15a";1,63155770714872e-32;-2,64920220667201;0,667;0,991;2,51553567288189e-28
"Uqcrb";2,04093097283644e-32;-2,57889906275607;0,53;0,963;3,14670737391923e-28
"Gng5";2,34917386546923e-32;-2,08106680355208;0,288;0,933;3,62195626578046e-28
"Rpl39";2,93094351485083e-32;-2,43519458217622;0,803;0,994;4,518928711197e-28
"Cox6c";3,10680346594795e-32;-2,69564190125843;0,682;0,976;4,79006958379856e-28
"Itm2b";3,23194801990108e-32;-3,04344876381358;0,455;0,962;4,98301745708348e-28
"Rps11";3,39107103985447e-32;-2,41632547759208;0,788;0,995;5,22835332924762e-28
"Ndufa4";4,25226983637894e-32;-2,59468301596654;0,576;0,969;6,55614963372905e-28
"Jund";4,46099534712399e-32;-3,37197971537652;0,606;0,968;6,87796262619577e-28
"Rps13";5,51223834694737e-32;-2,37696862374637;0,682;0,992;8,49876908332346e-28
"Ptma";5,86776068164245e-32;-2,68880248914442;0,788;0,986;9,04691341895633e-28
"Rpl10";5,99031849759734e-32;-2,50971424335324;0,758;0,994;9,23587305959559e-28
"Rps2";6,22329386650033e-32;-2,46957275635736;0,788;0,994;9,59507448337021e-28
"H3f3b";1,29640454586999e-31;-2,97359106940909;0,833;0,986;1,99879652882235e-27
