"";"id";"module";"supermodule";"dim_1";"dim_2"
"3258";"Nudt19";"5";"1";-0,399433956421762;-2,68469031353904
"3259";"Tgfbr2";"22";"1";2,1728680870162;3,32727066973732
"3260";"Parm1";"38";"1";-1,97815744665995;-0,345153408250347
"3261";"Rb1cc1";"43";"1";1,97196443291769;5,06787673930214
"3262";"Sec11a";"17";"1";1,31460411759481;0,964680595198139
"3263";"Cdkn1b";"3";"1";-1,03975547937289;-1,11673744221641
"3264";"Gabra3";"25";"1";-2,53369931963816;0,940953297415241
"3265";"Clip1";"22";"1";1,60453589173421;3,10135809878395
"3266";"Gpr18";"55";"2";-6,18160097388163;-5,35413988133384
"3267";"Swap70";"6";"1";2,77890284272298;2,02409533957528
"3268";"Smarca5";"43";"1";1,92922361107931;5,11374608973549
"3269";"Grhl2";"3";"1";-1,34793691424265;-0,756828742227093
"3270";"Sptan1";"31";"1";-2,0072095849885;-0,147642450532452
"3271";"Pum1";"43";"1";2,02989108773336;5,07032529810952
"3272";"Ptpn23";"33";"1";3,30918033333883;2,94330827693032
"3273";"Dnttip2";"52";"1";3,45733697625265;5,04172460536049
"3274";"Churc1";"19";"1";0,0692368886099765;-4,2466169168563
"3275";"Mir155hg";"25";"1";-2,7431053378953;0,971570951738819
"3276";"Svopl";"45";"1";-4,86265842703715;-1,61142762204124
"3277";"Pthlh";"21";"1";3,32939369889364;-0,457768218717114
"3278";"Trpm3";"20";"1";-3,57162349013224;0,464572289833292
"3279";"H2afz";"49";"1";2,53401549073324;-2,86621101399376
"3280";"Snrk";"23";"1";-1,91098193911448;-1,10223980446769
"3281";"D10Wsu102e";"30";"1";2,83555395814046;-0,596164899072186
"3282";"Arhgap25";"24";"1";-0,159945920981317;-0,838382082185284
"3283";"Col12a1";"25";"1";-2,08855550078288;1,16319231490181
"3284";"Arhgef9";"11";"1";-2,71788780478373;0,426285488405689
"3285";"Slc20a2";"31";"1";-2,40268687991038;0,543734898665413
"3286";"Lsr";"8";"1";3,30833537789449;4,46691362361
"3287";"Sar1a";"8";"1";2,83915550919637;4,36078469256447
"3288";"Siah2";"28";"1";3,01089222642049;5,02241556147622
"3289";"Tagap";"55";"2";-6,33208982733622;-5,45093162556602
"3290";"Fbxo32";"31";"1";-2,34999410895243;-0,00694875617934804
"3291";"Smn1";"10";"1";4,37611444207296;1,97310356596993
"3292";"Tap2";"57";"1";-0,105830148734002;1,30825660924004
"3293";"Tslp";"44";"1";-5,08463899878397;-0,880027013024822
"3294";"Rab11fip1";"22";"1";1,98183734627828;3,22226683596657
"3295";"Nup62";"33";"1";3,36682589264974;2,87779657343911
"3296";"Ephb1";"11";"1";-2,82289879111186;0,10855082968758
"3297";"Pecam1";"59";"1";-0,97905011562243;1,2053535411744
"3298";"Rlim";"12";"1";1,58529145928487;4,76333944300698
"3299";"Cd69";"55";"2";-5,94720308569804;-5,44503314991905
"3300";"Ms4a4c";"55";"2";-5,80400173453227;-5,4725542833419
"3301";"Mrc1";"56";"2";-4,81782095221415;-3,88936479588462
"3302";"Gm13032";"31";"1";-2,62230078963175;-0,131788687905804
"3303";"Hip1r";"16";"1";-1,97857122210398;-3,23098381062461
"3304";"Fmc1";"19";"1";-0,175531939543634;-4,49525316258384
"3305";"Gna13";"9";"1";3,44124276848897;2,1195871065049
"3306";"Vars";"21";"1";3,24625952454671;-0,604183750352398
"3307";"Zc3hav1";"22";"1";2,41536028596029;3,98579518298195
"3308";"Gm26532";"31";"1";-2,39425103453532;0,389544991651043
"3309";"Reln";"47";"1";-2,97199551848307;0,722301317253574
"3310";"Il15ra";"33";"1";3,33997757645711;3,10587517718361
"3311";"Lrmp";"56";"2";-5,2010139682664;-3,98154504795982
"3312";"Timm10b";"27";"1";-0,589165155017599;-2,08138711949302
"3313";"Ngrn";"27";"1";-0,713338182248025;-1,85777314206077
"3314";"Usp2";"4";"1";-5,86315958289042;-0,935886697968975
"3315";"Zfp185";"40";"1";-0,54226431337729;2,34121160010384
"3316";"Rgs16";"53";"1";-1,82045321253672;0,621091155210003
"3317";"Gtf2f2";"26";"1";4,34005601616964;2,22705904940651
"3318";"Bend7";"6";"1";2,40555532189474;2,17664925555275
"3319";"Slc25a17";"17";"1";1,32648797246084;0,490763107189402
"3320";"Syk";"61";"2";-5,50699751166239;-5,55480726262046
"3321";"Gpc1";"21";"1";3,32519967766866;-0,18397470017387
"3322";"Rab21";"12";"1";1,4839671394454;4,40987054804848
"3323";"Ing3";"9";"1";3,3238793155776;2,13677196005867
"3324";"Mpp5";"43";"1";2,08395321580038;5,00332681635903
