"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Orm1";0;1,69077517199737;0,633;0,002;0
"Cdo1";0;2,77919604529962;0,92;0,07;0
"Krt19";7,07708350522782e-276;1,7334756785765;0,426;0,007;1,1663741324966e-271
"Kcnj15";1,67281321251081e-262;0,903998249845687;0,574;0,023;2,75696345553907e-258
"Orm3";3,24582704144822e-252;0,737834341509744;0,319;0,002;5,3494475470108e-248
"Htr1d";2,83739328848553e-246;0,972766310284811;0,33;0,003;4,676307878753e-242
"Crisp1";7,09262721178725e-245;1,67488430367828;0,34;0,003;1,16893589077466e-240
"Tspan8";1,97119753889841e-240;1,64911719072506;0,84;0,081;3,24873066385847e-236
"F5";5,39750106366825e-229;0,786777725199508;0,293;0,002;8,89562150303164e-225
"Kcnj16";6,71613692338719e-210;0,504275551211323;0,266;0,001;1,10688652634344e-205
"Tnc";2,14526034501757e-201;2,00392207576773;0,707;0,068;3,53560357462346e-197
"Adh1";7,3954472998595e-195;0,826926396291162;0,441;0,018;1,21884366948984e-190
"Bace2";1,19944931343553e-178;1,21056406337751;0,681;0,07;1,97681241347309e-174
"Ifi211";2,99649569938088e-171;0,714068711432829;0,362;0,013;4,93852456214963e-167
"Scnn1b";2,06082196703861e-160;0,661713115792271;0,372;0,016;3,39644068387633e-156
"Dapk2";2,89982271145576e-159;0,466062009674585;0,293;0,008;4,77919781075024e-155
"Ltb4r2";1,10836875240906e-149;0,372550427774687;0,261;0,006;1,82670254084537e-145
"Slc6a6";3,40522229040672e-143;1,57376421593534;0,84;0,16;5,61214685681931e-139
"Defb1";3,63873194325871e-140;1,26086387663331;0,686;0,092;5,99699411568468e-136
"Ifi204";2,22984230029397e-138;0,567392090030205;0,33;0,015;3,6750030951145e-134
"Dkk3";2,4159701740315e-135;0,839695703995051;0,543;0,056;3,98176044382132e-131
"Anxa8";1,7230119791981e-134;0,97186387671042;0,543;0,056;2,83969604291639e-130
"Cat";3,37521217828512e-134;3,75334417805805;1;0,521;5,56268719103171e-130
"Muc1";6,58720879991739e-133;0,395946723324919;0,197;0,003;1,08563788231439e-128
"Klk1b9";1,37788923309882e-132;1,33776897868944;0,484;0,043;2,27089924507016e-128
"Ifi202b";1,52721126269302e-132;3,6888617021709;0,92;0,26;2,51699688204436e-128
"Itgb6";2,65134571906203e-126;0,954400927004874;0,426;0,035;4,36968287958613e-122
"Col25a1";4,96940735471562e-122;0,289435790262239;0,16;0,001;8,19008026130681e-118
"Cyp2f2";1,07525601245095e-118;2,64369742711432;1;0,468;1,77212943412041e-114
"Ckmt1";1,78937998848284e-115;1,37393446938388;0,851;0,206;2,94907715901857e-111
"Capg";1,35882556682834e-114;1,60073790211673;0,904;0,287;2,23948041668978e-110
"Fxyd2";2,58733463482275e-114;2,88648903408564;0,995;0,54;4,26418621165137e-110
