"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Ptprc";0;1,54360860155805;0,5;0;0
"Cd52";0;2,07740961434694;0,625;0,003;0
"Coro1a";0;1,49965478725778;0,583;0,002;0
"Ighm";5,9510216584947e-273;1,24757151219788;0,319;0;9,80787879536512e-269
"Cd53";1,35919677694345e-272;0,874469117916141;0,306;0;2,24009220808049e-268
"Laptm5";6,55796908186435e-262;0,989234420670316;0,319;0;1,08081888438206e-257
"Ptprcap";1,60248158492963e-245;1,01812042903257;0,333;0,001;2,64104990012252e-241
"Rac2";1,71389556284079e-223;0,851375071282645;0,264;0;2,82467127711791e-219
"Cd3d";3,34384664940037e-223;0,874469117916141;0,25;0;5,51099366287675e-219
"Ccr7";1,6277757252676e-221;0,967847222551347;0,306;0,001;2,68273717281353e-217
"Cd3g";2,63111792670828e-211;0,840946252735239;0,25;0;4,33634545500791e-207
"Arhgap15";5,36444597139907e-199;0,760456334874871;0,236;0;8,8411434054628e-195
"P2ry10";1,53947078121655e-198;0,760812336120574;0,222;0;2,537201794523e-194
"Ms4a4b";1,53959410102746e-198;0,906890595608518;0,222;0;2,53740503790335e-194
"Ms4a6b";2,19319043154983e-188;0,795147368554014;0,236;0;3,61459715023727e-184
"Skap1";1,04261092817552e-186;0,736609592920503;0,222;0;1,71832707072607e-182
"Itk";3,24499474845449e-186;0,662965012722429;0,208;0;5,34807584492784e-182
"Cytip";2,16815898675175e-166;0,896602059151556;0,347;0,005;3,57334282606555e-162
"Txk";2,64743431014562e-153;0,935043389840842;0,264;0,002;4,363236486551e-149
"Rgs1";6,85864753396782e-150;0,662609011476727;0,181;0;1,13037370007324e-145
"Lsp1";9,33841319942096e-140;0,712006133253768;0,181;0;1,53906387939657e-135
"Cd28";1,25888056884903e-137;0,699727803475331;0,167;0;2,07476106552008e-133
"Gm8369";5,72813647885484e-137;0,675565049502063;0,153;0;9,44054173080066e-133
"Cd2";5,72933871573188e-137;0,584962500721156;0,153;0;9,44252313739771e-133
"Cd3e";2,63858743686142e-132;0,555860762165366;0,208;0,001;4,34865595469131e-128
"Igkc";9,57327343955539e-132;2,26839731624516;0,236;0,002;1,57777119557312e-127
"Ikzf1";1,74026732082047e-131;0,709872494648128;0,222;0,002;2,86813457144421e-127
"Bcl2a1b";1,12913351940193e-127;0,948304156615434;0,167;0;1,86092495332632e-123
"Il7r";2,08874409222244e-125;0,516219524495203;0,153;0;3,4424591383918e-121
"Trbc1";1,1450709076143e-124;1,09686153925259;0,139;0;1,88719136283912e-120
"Selplg";1,67774837351908e-116;0,620224636936766;0,222;0,003;2,76509709439679e-112
"Apbb1ip";4,52153058523043e-116;0,596124632379093;0,181;0,001;7,45193455751827e-112
"Cd37";1,24129440917594e-115;0,636718005949531;0,153;0;2,04577731576286e-111
"H2-Ob";1,255917969853e-115;0,649186220669378;0,153;0;2,06987840611473e-111
"Grap2";3,00141576025453e-107;0,543252775920313;0,153;0,001;4,94663331447549e-103
"Gimap3";5,20877227683779e-101;0,48793048006378;0,125;0;8,58457758945636e-97
"Sell";5,20944465677109e-101;0,459075617391595;0,125;0;8,58568573882444e-97
"Cd69";5,20944465677109e-101;0,610722797416586;0,125;0;8,58568573882444e-97
"Ighd";4,45931589612908e-100;0,598259323334614;0,111;0;7,34939852841035e-96
"Cd40lg";4,45931589612908e-100;0,502500340529183;0,111;0;7,34939852841035e-96
"Fcer2a";4,45943463010974e-100;0,557995453120887;0,111;0;7,34959421388386e-96
"Icos";4,45944947207549e-100;0,662965012722429;0,111;0;7,34961867492762e-96
"H2-DMb2";4,45947915615351e-100;0,571541984958835;0,111;0;7,34966759725661e-96
