"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Rarres2";5,2198694035014e-215;1,41138921428134;0,273;0,001;8,79704590572092e-211
"Cox4i2";7,10175759871015e-199;1,35819163887413;0,209;0;1,19685920811062e-194
"Coro1a";5,80308827600775e-165;0,740194315916107;0,218;0,001;9,77994467155586e-161
"Pde3a";1,26267480391363e-164;0,59334486925609;0,182;0;2,12798584703565e-160
"Aspn";3,05243807864514e-160;0,896781457772489;0,2;0,001;5,14427389394065e-156
"Atp1b2";2,95694756076588e-154;0,715475330641299;0,218;0,002;4,98334372415874e-150
"Rgs4";8,0745447490382e-146;1,19929155164754;0,191;0,001;1,36080302655541e-141
"Gucy1b1";8,25397237667549e-146;0,938066008992232;0,191;0,001;1,39104196464112e-141
"Barx1";6,31864861744179e-139;0,55815544079379;0,155;0;1,06488185149746e-134
"Olfr558";6,37341474642974e-139;0,494429843183403;0,155;0;1,0741115872158e-134
"Pdgfrb";6,02158439750194e-135;0,683234993641091;0,191;0,002;1,014817618511e-130
"Sod3";3,55262392507998e-130;0,263034405833794;0,136;0;5,98723710093729e-126
"Des";5,22514056133274e-124;1,67606397849639;0,173;0,001;8,80592938801406e-120
"Prrx1";6,70442647193113e-123;0,347253683988054;0,145;0;1,12989699331455e-118
"Thy1";2,92823261288765e-122;0,537891766418893;0,182;0,002;4,93495042249956e-118
"Ebf2";8,21173249897752e-122;0,347588454854132;0,136;0;1,38392327805268e-117
"Gm13861";8,94542706041047e-122;0,484757207737989;0,136;0;1,50757282249098e-117
"Cd53";1,33043537863387e-121;0,485426827170242;0,127;0;2,24218274361166e-117
"Cd52";2,16590079223105e-121;1,11449250810439;0,2;0,003;3,65019260514699e-117
"Ptprc";1,76133810992227e-114;0,725765307241784;0,136;0;2,96838311665199e-110
"P2rx1";4,95004079007388e-113;0,576192291093424;0,118;0;8,34230374351151e-109
"Wfdc1";8,09105440215577e-108;0,396541449874028;0,136;0,001;1,36358539839531e-103
"Rgs5";4,11918351566187e-107;3,07170363269002;0,191;0,003;6,94205997894495e-103
"Nr2f1";6,16599218052133e-103;0,517406448300747;0,182;0,003;1,03915466218326e-98
