"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Oit1";0;1,51723003172643;0,817;0,025;0
"Lpo";1,63374471810805e-300;1,66743423065053;0,817;0,036;2,40764959107584e-296
"Agt";4,5716806161988e-298;2,00207135810933;0,888;0,051;6,73728572409218e-294
"Pigr";1,38969294075667e-284;1,76783860950803;0,793;0,037;2,0479904867931e-280
"Kcnn4";7,96181752546354e-201;1,18146663445048;0,716;0,05;1,17333304872756e-196
"Mucl1";2,89093487554004e-188;1,59740108262283;0,781;0,075;4,26037072608336e-184
"Etv1";2,77635840394035e-128;0,865723951360163;0,556;0,051;4,0915193798869e-124
"Creb3l1";3,30852289084824e-123;0,836535718915423;0,55;0,052;4,87577018424304e-119
"Bhlha15";6,03540586887748e-114;0,798388140356003;0,509;0,048;8,89437762896474e-110
"Cd44";1,51666563654427e-111;0,567776527491517;0,367;0,02;2,23511014857529e-107
"Car6";1,07633782835695e-107;5,52623190452625;1;0,905;1,58619905764963e-103
"Scgb2b26";5,73718492264393e-107;4,7618171540681;1;0,919;8,45488942050036e-103
"Scgb2b27";4,52609274195122e-106;5,20901589937348;1;0,997;6,67010287381351e-102
"Mucl2";5,03815504253487e-106;4,62247605425039;1;1;7,42472908618363e-102
"Scgb1b27";8,32859241693127e-106;5,15528810023107;1;0,999;1,22738466448316e-101
"Prol1";2,51718522954472e-104;4,37720214003381;1;0,994;3,70957587278005e-100
"Ptma";3,7739244447348e-103;-3,17231689259585;0,686;1;5,56163245420568e-99
"Ubb";5,54198040701567e-103;-3,60082382997325;0,769;1;8,167216525819e-99
"Cox8a";6,94257331302958e-103;-3,40043921178054;0,592;1;1,02312702914117e-98
"Eif1";1,68406260127887e-102;-3,13984202190779;0,574;1;2,48180305550466e-98
"Cd9";9,05435912564633e-102;-3,21059409625774;0,308;0,999;1,3343409043465e-97
"Jund";1,57752374052444e-101;-3,86237042718471;0,491;0,999;2,32479673641087e-97
"Cox6b1";2,28265022634748e-101;-2,67514561914384;0,367;0,999;3,36394163856828e-97
"H3f3b";3,17907249413783e-101;-3,93058761407444;0,675;1;4,68499913461093e-97
"Hsp90ab1";3,99955206389328e-101;-2,6907017298518;0,822;1;5,89413987655953e-97
"Ppia";4,99703513209874e-101;-3,15196482432561;0,663;1;7,36413067417392e-97
"Oaz1";2,56277657026683e-100;-2,50079181210607;0,462;0,998;3,77676383160222e-96
"Cox6c";2,61771017456391e-100;-2,81818453187435;0,568;0,999;3,85771948425483e-96
"Cox4i1";2,66776190459965e-100;-2,82052169228849;0,74;1;3,9314807188085e-96
"Cox5b";4,21902681451659e-100;-2,58846832724829;0,45;0,996;6,2175798165531e-96
"4631405J19Rik";6,00744445140023e-100;0,266494447304081;0,207;0,004;8,85317088802853e-96
"Slc25a5";6,87344511282931e-100;-2,6140131658214;0,432;0,996;1,01293960627766e-95
"Chchd2";8,96688435764184e-100;-2,53237789508935;0,621;1;1,32144974778568e-95
"Ndufa4";1,90195940556896e-99;-2,79119896589369;0,432;0,996;2,80291757598698e-95
"Actg1";1,91731130207258e-99;-4,11204264261296;0,675;1;2,82554166586435e-95
"Uqcrh";3,82532691860883e-99;-2,64197972476521;0,503;0,999;5,63738427995384e-95
"Cox5a";4,60354628034843e-99;-2,63470775605609;0,26;0,991;6,78424615334948e-95
"Itm2b";9,38502556047211e-99;-3,25834340935387;0,373;0,997;1,38307121684678e-94
"Slc25a3";1,14103002531142e-98;-2,55136961831399;0,367;0,996;1,68153594830144e-94
"Atp5h";1,83403997704122e-98;-2,47295581641043;0,521;0,996;2,70282471416564e-94
"Krt18";2,09716134422519e-98;-4,02848897502302;0,805;0,995;3,09058667298467e-94
"Cox7c";2,27190653097347e-98;-2,56895395767517;0,716;0,999;3,3481086546956e-94
"Uqcrb";2,51907373606497e-98;-2,68352780685107;0,385;0,996;3,71235896483895e-94
"Btf3";4,70335963437064e-98;-2,45993909403273;0,308;0,994;6,93134109317202e-94
"Atp5j";5,71373979384969e-98;-2,41911460872828;0,639;0,998;8,42033833419629e-94
"H3f3a";5,9099849246912e-98;-2,62239164322135;0,402;0,998;8,70954478351742e-94
"H2-D1";8,57159882430003e-98;-2,84999423257985;0,396;0,995;1,2631965187371e-93
"Gapdh";1,11929874146799e-97;-2,82766284203424;0,402;0,995;1,64951055530138e-93
"Aldoa";3,88195774996193e-97;-2,59214170672796;0,391;0,993;5,7208411361189e-93
"Cox7a2";6,9950391205265e-97;-2,50231858046064;0,485;0,997;1,03085891519199e-92
"Atp5l";7,11135366335367e-97;-2,51971473078659;0,414;0,997;1,04800018936843e-92
"Epcam";1,7903994946951e-96;-3,01961956955379;0,503;0,993;2,63851173533216e-92
"Atp5b";3,56485664540972e-96;-2,50139923485891;0,68;0,999;5,25352923834031e-92
"Hspa8";8,67747931543052e-96;-2,72595821469579;0,598;0,999;1,278800126715e-91
"Prdx1";9,06514486385835e-96;-2,41482843769337;0,308;0,994;1,3359303985868e-91
"Fau";2,00457364943707e-95;-2,75547524939453;0,911;1;2,95414018717542e-91
"Uqcr10";2,03571490281837e-95;-2,53087366778206;0,408;0,992;3,00003305228344e-91
"S100a11";2,21218325046377e-95;-2,7813532278639;0,26;0,991;3,26009445620846e-91
"Ftl1";2,26328914418289e-95;-3,0301173527946;0,604;0,996;3,33540921178233e-91
"Fth1";2,34808543997594e-95;-3,02497566941983;0,74;0,999;3,46037351289254e-91
"Atp5g2";2,43692838594183e-95;-2,2653357058666;0,331;0,99;3,59130136236247e-91
"Aqp5";4,73219808917909e-95;0,76327464377116;0,864;0,153;6,97384032402323e-91
"Actb";1,04010295073092e-94;-3,45000696408934;0,74;0,999;1,53279971849215e-90
"Chchd10";1,91003394788652e-94;-2,82698774524014;0,574;0,988;2,81481702900037e-90
"Krt8";2,67178747941308e-94;-3,7527913072603;0,58;0,991;3,93741320841106e-90
"Calm2";3,07457295687586e-94;-2,44320876624934;0,391;0,993;4,53099816654795e-90
"Gng5";3,58343745648869e-94;-2,16915840616322;0,231;0,985;5,28091177962738e-90
"Atp5f1";8,19009728768683e-94;-2,12882054857623;0,243;0,98;1,20697463728641e-89
"Myl6";3,70899318076271e-93;-2,4967332553756;0,509;0,993;5,46594325049001e-89
"Gnas";3,81380298473954e-93;-2,42450217981114;0,822;0,999;5,62040145861066e-89
"Atp5c1";8,41343398826597e-93;-2,23885216687134;0,314;0,985;1,23988776685076e-88
"Atp5d";9,6294768375388e-93;-2,13229255056917;0,722;0,997;1,41909600154809e-88
"Atp5a1";1,79242100465941e-92;-2,0668943587249;0,562;0,994;2,64149083456657e-88
"Atpif1";2,17206208944778e-92;-2,45526973802893;0,183;0,968;3,20096790121919e-88
"Cox7b";3,19555530050695e-92;-2,35759524615459;0,438;0,987;4,70928984635709e-88
"St3gal4";7,84589999132786e-92;1,07300254079705;0,811;0,171;1,15625028172199e-87
"Rnasek";8,13277103515996e-92;-2,23666516277396;0,308;0,98;1,19852646745152e-87
"Laptm4a";2,98843295141948e-91;-2,09346574296358;0,302;0,984;4,40405364050689e-87
"Naca";3,08255467995363e-91;-2,44513662697735;0,639;0,997;4,54276083184766e-87
"Npm1";3,88834769966716e-91;-2,11990977553944;0,278;0,981;5,73025800499949e-87
"Mif";4,48898376045612e-91;-2,4555805393106;0,337;0,984;6,61541536778418e-87
"Ndufb11";9,15461799011436e-91;-1,97624971914121;0,361;0,986;1,34911605320315e-86
"Mdh1";1,13955667856615e-90;-2,18237278576383;0,337;0,977;1,67936467720293e-86
"Anxa1";1,43408631615462e-90;-3,80303363689513;0,166;0,954;2,11341300411707e-86
"Dstn";4,25804449447762e-90;-2,23130728188847;0,527;0,991;6,27508017151167e-86
"Ndufc2";1,22038735765377e-89;-1,9444161963723;0,183;0,967;1,79848484897436e-85
"Ddx5";1,24939240970112e-89;-2,23860244658983;0,533;0,991;1,84122959417654e-85
"Cox6a1";2,2082205780898e-89;-2,10187697843748;0,361;0,981;3,25425466593094e-85
"Atp6v1f";3,23256164713583e-89;-2,11318457966727;0,249;0,972;4,76382609938408e-85
"Vdac2";7,13246717666012e-89;-1,91428851951925;0,16;0,955;1,0511116878244e-84
"Tmem59";1,28803975469109e-88;-2,07904883035648;0,219;0,972;1,89818418648826e-84
"H2-K1";1,60864762118124e-88;-2,72283538906594;0,385;0,976;2,37066399933479e-84
"Atp6v0c";2,19171510851131e-88;-2,25040510089888;0,325;0,98;3,22993055541312e-84
"Eef1a1";2,34194737521373e-88;-2,43138092675071;0,994;1;3,45132784685247e-84
"Ybx1";4,99955085300264e-88;-2,02794504935474;0,278;0,967;7,36783809206999e-84
