"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Tpt1";1,25274607690758e-182;-1,83181729786819;1;0,999;1,93148390137611e-178
"Eef1a1";2,43485874241764e-178;-1,93036231047495;1;0,999;3,75406520905952e-174
"Rpl41";1,64183609142654e-168;-1,701207013151;1;0,999;2,53138288576143e-164
"Rplp1";7,32684129353069e-167;-1,67989640498631;1;1;1,12965239063656e-162
"Rpl32";5,18596865408741e-166;-1,87532462713448;0,998;0,998;7,99572647087197e-162
"Rps14";1,5074800529313e-164;-1,66300381854225;1;0,998;2,32423274560948e-160
"Rps24";4,23912720596064e-164;-1,77043797985589;0,998;0,998;6,53588632615012e-160
"Rpl23";4,36045767458792e-164;-1,76622017037667;1;0,999;6,72295364267966e-160
"Rplp0";6,68742404931208e-163;-1,86793916764002;1;0,998;1,03106703992294e-158
"Rps27a";1,20222388857008e-162;-1,87242462557662;1;0,996;1,85358879139735e-158
"Gm42418";1,11032862297129e-161;1,77805730023288;1;1;1,71190467089713e-157
"Rpl8";2,54117298608714e-159;-1,66113635854362;1;0,996;3,91798050994916e-155
"Rps16";2,72778362541418e-159;-1,72230548971358;1;0,995;4,20569679366358e-155
"Rps4x";7,92298030112472e-158;-1,8662865431397;0,998;0,997;1,22156510282741e-153
"Rpl28";8,42854727365502e-158;-1,69759920272147;1;0,996;1,29951341865213e-153
"Rps20";6,784770915986e-157;-1,79584590939147;1;0,996;1,04607597982672e-152
"Rpl21";7,21728515603269e-157;-1,78258971414194;1;0,998;1,11276102535712e-152
"Rps21";9,27857537077337e-157;-1,58987851711161;1;0,994;1,43057075066584e-152
"Rpl9";2,64045155964776e-155;-1,92130908612945;1;0,987;4,07104821466491e-151
"Rps10";2,8599507091897e-155;-1,79510704910734;1;0,996;4,40947200342868e-151
"Rpl30";6,17411914115306e-154;-1,70303542794603;1;0,991;9,51925689182979e-150
"Rps3a1";9,85246945974111e-154;-1,88194836715755;1;0,994;1,51905374130288e-149
"Rps7";9,07176729041909e-153;-1,8052627079894;1;0,994;1,39868508083682e-148
