"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Cdk1";7,54660695556238e-214;-2,56451545926019;0,013;0,883;1,35567247349723e-209
"Cdca3";1,10052594669388e-202;-1,96077889596599;0,011;0,835;1,97698481064089e-198
"Racgap1";2,17773998880299e-202;-1,51695760098578;0,008;0,806;3,9120921158857e-198
"Pbk";6,64043365208674e-195;-1,64093564747939;0,009;0,796;1,19288750126086e-190
"Cdca8";1,1229022742244e-191;-1,9756882002946;0,024;0,893;2,01718164541671e-187
"Lockd";1,94929565690192e-185;-2,06669429762208;0,018;0,835;3,50171471805861e-181
"Birc5";2,22979363897039e-184;-2,36504665341482;0,029;0,893;4,00560129304641e-180
"Hmmr";1,39065482870658e-181;-1,66259698251019;0,006;0,718;2,4981723342885e-177
"Ccnb2";1,1990212271477e-177;-1,74731921617936;0,008;0,728;2,15392173244812e-173
"Pclaf";2,17278444041656e-174;-3,01018934527713;0,039;0,922;3,90318996876431e-170
"Mki67";1,11828475121398e-173;-2,0439192537318;0,03;0,864;2,0088867270808e-169
"Ube2c";1,13257451249008e-173;-3,12745070852634;0,019;0,796;2,03455685423718e-169
"Cenpf";2,80485841831353e-173;-2,15103342648339;0,01;0,728;5,03864766265842e-169
"Top2a";5,10341148373665e-172;-2,6712895004908;0,032;0,864;9,16776838938452e-168
"Ccnb1";1,01361286344873e-169;-1,55417724718098;0,005;0,67;1,8208541478993e-165
"Ccna2";1,41535365759338e-168;-1,24650798841866;0,003;0,641;2,54254131050075e-164
"Spc24";3,31652753336113e-166;-2,11793590384943;0,052;0,942;5,95781006092994e-162
"Cenpe";1,02733853291618e-161;-1,54691264237612;0,01;0,689;1,84551094053063e-157
"Kif11";1,97810946660221e-160;-1,28979641563967;0,012;0,699;3,55347584580421e-156
"Anln";1,74171243021241e-157;-0,945286888356433;0,003;0,612;3,12881220963357e-153
"Nusap1";2,44833818986366e-157;-1,23589134659145;0,002;0,592;4,39819472427107e-153
"Incenp";6,96870966117651e-157;-1,35206407920434;0,026;0,786;1,25185900353375e-152
"Melk";2,31259679233157e-156;-1,06362730355774;0,011;0,68;4,15434887774443e-152
"Ska1";7,41175730339625e-152;-0,902327086684171;0,003;0,583;1,3314480819821e-147
"Tacc3";9,66873551309807e-149;-1,49502057310136;0,04;0,835;1,73689164757294e-144
"Cdc20";7,67252668120086e-145;-2,27472734170131;0,029;0,757;1,37829269301092e-140
"Kif15";1,02886598768294e-144;-0,89750201516019;0,006;0,592;1,84825486027363e-140
"Nuf2";1,47836894519505e-143;-0,789232903783179;0;0,524;2,65574197314838e-139
"Aurkb";1,79380216343938e-143;-0,882144258549682;0,001;0,534;3,2223862064025e-139
"Iqgap3";1,89366595375018e-143;-0,82677868126971;0,002;0,544;3,40178151931683e-139
"Esco2";3,84924538473377e-141;-1,17902698739619;0,003;0,553;6,91478440913575e-137
"Shcbp1";1,81806535343318e-139;-1,13765350584127;0,019;0,68;3,26597260090737e-135
"Knl1";2,06341170514173e-138;-0,868492157958466;0,004;0,553;3,7067127871166e-134
"Prc1";4,97392910135415e-129;-1,93377342885836;0,043;0,767;8,9351662376726e-125
"Ndc80";2,01452080283463e-127;-0,886399235696418;0,008;0,553;3,61888517021214e-123
"Bub1";1,62508731044074e-124;-0,785603480382488;0,003;0,485;2,91930684447575e-120
"Cenpm";7,4509869914352e-124;-1,30028060944997;0,05;0,796;1,33849530314142e-119
"Ckap2l";1,18765448468861e-122;-1,27537552548887;0,038;0,728;2,13350251629462e-118
"Tpx2";7,05781175197528e-121;-1,41371690175239;0,061;0,825;1,26786530312484e-116
"Cenpp";3,04444275152692e-120;-1,02084201141982;0,045;0,757;5,46903695884295e-116
"Kif23";3,55333200939853e-120;-1,5314571706809;0,049;0,767;6,38320562168352e-116
"Neil3";7,7497758007823e-119;-0,683701699159709;0,003;0,466;1,39216972485253e-114
"Diaph3";2,2645756760675e-117;-1,27980952514891;0,051;0,767;4,06808374448765e-113
"Kif4";4,07028052666501e-115;-0,753849592017344;0,007;0,495;7,31185193810102e-111
"Cdkn3";9,01127013746631e-115;-1,08760944726205;0,005;0,476;1,61878456749445e-110
"Kif20a";8,43249486777533e-113;-0,803687114349877;0,007;0,485;1,51481337804716e-108
"Spc25";1,44205526308297e-112;-1,0895412877259;0,029;0,641;2,59050807460225e-108
"Hist1h1b";1,12877548094797e-111;-2,13913974790214;0,034;0,66;2,02773227397494e-107
"Cenpn";5,28435089125497e-111;-0,662961953809387;0,012;0,524;9,49280794105043e-107
"Dlgap5";4,58315789891504e-109;-0,701115426251895;0,009;0,495;8,23318484961098e-105
"Ect2";1,362083741899e-108;-0,900843557687023;0,024;0,602;2,44684723394737e-104
"Bub1b";1,58020080255785e-108;-0,75264784680759;0,008;0,485;2,83867272171493e-104
"Kifc1";2,16680512479044e-106;-0,689954026211446;0,005;0,447;3,89244872617354e-102
"Tk1";5,09883120217384e-105;-0,99845809158119;0,029;0,612;9,15954037158509e-101
"Ncapd2";2,72971397090794e-104;-0,804272597307275;0,029;0,612;4,90365817733903e-100
"Smc2";7,07182774983148e-104;-2,04665883188517;0,133;0,922;1,27038313697973e-99
"Pimreg";6,90624630261379e-103;-0,851447461326766;0,001;0,388;1,24063808580154e-98
"Depdc1a";7,34280924520546e-103;-0,616069398395837;0,001;0,388;1,31906225280871e-98
"Kif20b";1,00690750640009e-100;-0,933395409146096;0,02;0,544;1,80880864449712e-96
"Cdca5";3,31761093144739e-100;-0,67861086446455;0,001;0,379;5,95975627725209e-96
"Foxm1";7,38774274567640e-100;-0,619765588808556;0,011;0,476;1,32713410683331e-95
"Mxd3";1,78560377434065e-98;-0,681289165084318;0,005;0,417;3,20765862022555e-94
"Cenpa";4,3263476460564e-97;-2,43160093384883;0,067;0,728;7,77185091137572e-93
"Aspm";7,81400633170167e-96;-0,681289165084318;0,005;0,408;1,40370809742689e-91
"Mad2l1";1,86660359952224e-95;-1,18680899929345;0,073;0,757;3,35316670618176e-91
"Mns1";2,23027951684775e-95;-0,701513236855607;0,024;0,553;4,00647412406529e-91
"Hist1h2ab";2,40543329705336e-95;-0,583579901757028;0,004;0,398;4,32112037482665e-91
"Hist1h2ap";9,26549897687371e-95;-2,95234265137966;0,034;0,583;1,66445423620559e-90
"Ncapg";1,46247103804812e-93;-0,617927933176465;0,006;0,408;2,62718297274965e-89
"Kif2c";5,04256566623257e-92;-0,631798144303453;0,002;0,359;9,05846496282019e-88
"Cep55";1,74701351323194e-90;-0,573036274432295;0,005;0,388;3,13833507516986e-86
"Hist1h2ae";1,82304681820654e-90;-2,34849960508623;0,043;0,612;3,27492130422623e-86
