"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Pigr";0;2,00799988209805;0,818;0,018;0
"Creb3l1";0;1,11540997364393;0,693;0,033;0
"Wfdc12";0;3,70673630568165;0,981;0,173;0
"Rap1gap";0;1,57723867017463;0,832;0,139;0
"Bhlha15";0;1,0178827156001;0,62;0,027;0
"A630073D07Rik";0;1,13626479697198;0,818;0,086;0
"Kcnn4";0;1,45299604050237;0,793;0,029;0
"Agt";0;2,26506723431846;0,878;0,028;0
"Lpo";0;2,06693811219981;0,853;0,017;0
"Etv1";0;1,13135716262895;0,682;0,025;0
"Oit1";0;1,7622754497187;0,856;0,015;0
"Aqp5";0;1,61290090300318;0,897;0,078;0
"Mucl1";0;1,5796406930677;0,791;0,034;0
"Esp8";0;0,399141194116098;0,25;0,003;0
"Gjb1";0;0,5815179044684;0,427;0,013;0
"4631405J19Rik";1,47113648726919e-298;0,317034219209745;0,228;0,003;2,64274958573038e-294
"St3gal4";1,01052732721036e-295;1,36813799806489;0,837;0,139;1,8153112906007e-291
"Slc12a8";4,01489780839811e-287;0,566728817865942;0,429;0,028;7,21236242300636e-283
"St3gal1";1,54111375080379e-278;1,06988104264638;0,707;0,099;2,76845674194393e-274
"Car6";7,79658204024995e-269;7,01236824929141;1;0,459;1,4005779977105e-264
"Slc2a5";3,88068454042279e-267;0,278899090322974;0,209;0,003;6,9712617084155e-263
"Scgb2b26";1,28278603165285e-264;6,63834314189485;1;0,473;2,30439682726118e-260
"Scgb2b27";7,62297208806419e-251;7,08228733488246;1;0,553;1,36939070589985e-246
"Prol1";6,09393934829196e-249;6,1843437690367;1;0,56;1,09471526452717e-244
"Scgb1b27";6,72573108308189e-248;7,30195600302224;1;0,576;1,20821033176483e-243
"BC049987";5,40439192199049e-244;0,281573062374037;0,198;0,004;9,70844964866372e-240
"Mucl2";4,12948694529173e-235;6,57956291844854;1;0,741;7,41821034852206e-231
"Folr1";1,72323718649479e-231;0,528520259035502;0,375;0,027;3,09562328181923e-227
"Mup5";1,23833969421277e-229;2,17002403889239;0,28;0,013;2,22455342668381e-225
"Ptma";9,46516436482059e-227;-3,51669990608002;0,742;1;1,70032212649637e-222
"Ubb";1,80359798871215e-225;-3,76703167950528;0,883;1;3,2399834269225e-221
"Eif1";1,30190396578823e-224;-3,31098382015276;0,734;1;2,33874028414197e-220
"H3f3a";2,4743360616167e-223;-3,06610400740423;0,508;1;4,44489730108823e-219
"Pip";2,78913281671211e-223;2,9215262840771;1;0,47;5,01039819194164e-219
"Hsp90ab1";9,57246887600463e-223;-2,96922538020925;0,872;1;1,71959830888547e-218
"Cd9";1,24338895827868e-221;-3,36359070680938;0,435;1;2,23362392465182e-217
"Btf3";2,03487939828044e-221;-2,94287701577473;0,342;0,998;3,65545735107099e-217
"Itm2b";4,3031547839896e-221;-3,27731522962307;0,505;0,999;7,73018725395892e-217
"Actg1";6,23035756826207e-221;-4,24029539491546;0,745;1;1,1192214335626e-216
"Ppia";1,12987489781047e-220;-2,90347184191056;0,84;1;2,02970726642672e-216
"Rpl9";1,2665619595051e-220;-3,39782105122816;0,864;1;2,27525190405496e-216
"Rps27";1,83487223852632e-218;-3,4326670266038;0,848;1;3,29616448928868e-214
"S100a11";1,03398002816938e-217;-3,28074585909326;0,307;0,997;1,85744172260347e-213
"H3f3b";1,3249403691386e-217;-3,44601343878973;0,785;1;2,38012287912058e-213
"Rps9";5,04704158889529e-217;-3,06146429369176;0,905;1;9,0665055102915e-213
"Oaz1";1,12863723413304e-216;-2,42713424221108;0,622;0,999;2,0274839273966e-212
"Rpl3";1,96590016101193e-216;-3,39131706275447;0,753;1;3,53154304924183e-212
"Rpl27a";2,25967794125487e-216;-3,0678368183195;0,962;1;4,05928545367025e-212
"Rpl10a";2,69285107179739e-216;-3,2875043258772;0,845;1;4,83743766537683e-212
"Rps2";3,35632604711887e-216;-3,23288955527492;0,897;1;6,02930411104433e-212
"Rpl39";5,15619872511681e-216;-3,45735494665848;0,897;1;9,26259538979985e-212
"Rps15a";6,86425338223363e-216;-3,69337868788268;0,799;1;1,23309447758445e-211
"Fau";1,139376233544e-215;-2,88054950307417;0,951;1;2,04677546593845e-211
"Hspa8";1,1717242985081e-215;-2,8836881150575;0,674;1;2,10488552983996e-211
"Rpl10";1,23673773945168e-215;-2,9041168118808;0,87;1;2,221675675151e-211
"Rpl34";1,60369736919398e-215;-3,14940550383569;0,878;1;2,88088195402006e-211
"Rps13";2,22075519732397e-215;-3,17301075798596;0,815;1;3,98936463647278e-211
"Rplp2";3,33848427120514e-215;-2,71989675599635;0,905;1;5,99725314479291e-211
"Rps5";3,61217003176042e-215;-3,27629787450751;0,886;1;6,48890224505442e-211
"Rpl17";3,69463466315868e-215;-3,17715755108141;0,929;1;6,63704170889826e-211
"Gapdh";6,15217425451858e-215;-2,67135120469347;0,522;0,998;1,10517658308172e-210
"Rpl19";1,52904615236227e-214;-2,77819107406745;0,978;1;2,74677850810358e-210
"Rps3";2,26116446418899e-214;-3,13658064340185;0,883;1;4,0619558434691e-210
"Actb";7,46843326650468e-214;-3,58801309961884;0,772;1;1,3416293519949e-209
"Rps3a1";7,75961952966559e-214;-3,28823257849102;0,932;1;1,39393805230913e-209
"Npm1";9,97619685963724e-214;-3,12414275696435;0,345;0,995;1,79212400386523e-209
"Rps18";2,33278458828086e-213;-3,27727455012224;0,913;1;4,19061423438774e-209
"Rps11";2,72903675645506e-213;-3,05610185705745;0,899;1;4,90244162929586e-209
"Rpl18";7,34362335495821e-213;-2,7371198177507;0,938;1;1,31920849948469e-208
"Rpl7";1,40246433538977e-212;-3,08777451965903;0,878;1;2,51938693209418e-208
"Rps27a";2,02683146789539e-212;-3,10416855203027;0,954;1;3,64100004892727e-208
"Cox4i1";4,52850953730855e-212;-2,36661860332524;0,837;1;8,13501453282108e-208
"Ddx5";4,79116137649381e-212;-2,89622115630543;0,59;0,998;8,60684229673348e-208
"Rpl11";7,58388844519173e-212;-2,74360152933268;0,965;1;1,36236972029424e-207
