"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Krt17";3,41219216706662e-249;-2,12948327742321;0,809;0,992;6,12966200891848e-245
"B2m";8,53717294438914e-233;-1,29222176836865;0,889;0,997;1,53361774773007e-228
"Cd74";2,96993885787273e-232;-1,96109327216872;0,19;0,812;5,33519816428258e-228
"Ifitm3";4,94232398620571e-228;-1,07320520652384;0,98;1;8,87839080881994e-224
"H2-D1";4,2163935291488e-214;-1,11636664015433;0,97;0,998;7,57432933576291e-210
"H2-Q7";3,35351702548872e-204;-1,38706080026481;0,283;0,835;6,02425798458794e-200
"Cldn1";1,8937329703447e-202;-1,56972688425031;0,139;0,697;3,40190190792722e-198
"Il18r1";1,45461772309173e-199;-1,11093909392186;0,235;0,801;2,61307527776198e-195
"H2-K1";3,22061061776218e-193;-1,06955647928479;0,979;1;5,78550491374799e-189
"F3";1,20158200863269e-188;-1,64708907844456;0,828;0,987;2,15852192030776e-184
"Krt14";3,6955066834724e-174;-1,10745071092251;0,891;0,999;6,63860820618982e-170
"Cyp2f2";1,48623316086384e-166;1,99829734974338;0,628;0,117;2,66986925017581e-162
"Pdpn";1,84086640154227e-166;-1,1052548561014;0,328;0,817;3,30693240373053e-162
"Casp4";2,77178520401165e-166;-1,15350785424641;0,325;0,808;4,97923494048653e-162
"H2-Q6";3,40479659240748e-165;-1,05490410429343;0,138;0,645;6,11637659860079e-161
"Odc1";7,5898095471741e-163;-1,56875599179072;0,562;0,901;1,36343338705435e-158
"Tmem176a";4,26006024111351e-158;-1,08588852204531;0,82;0,979;7,65277221713631e-154
"Ccn1";7,77115910313299e-157;-1,39395128138325;0,908;0,992;1,39601102128681e-152
"Ccnd2";1,06160130871962e-156;-1,14513428532482;0,323;0,806;1,90706059098392e-152
"Tmem176b";1,581029716314e-154;-0,910353448210598;0,979;0,998;2,84016178238647e-150
"H2-Q4";4,77008495818169e-153;-1,08230739056957;0,403;0,83;8,56898061887759e-149
"Calm2";2,84248077072984e-151;-0,827497922310531;0,987;0,999;5,10623245653908e-147
"Tnip1";3,79070122084313e-150;-0,979337182524282;0,25;0,724;6,8096156731226e-146
"Col4a1";6,91870849431755e-150;-0,944832549870039;0,345;0,811;1,2428767939192e-145
"Gm12840";8,64012472199306e-149;-1,31547885074962;0,393;0,838;1,55211200505883e-144
"Apoe";2,82491527161606e-148;-1,07132716735594;0,847;0,996;5,07467779393109e-144
"Cxadr";2,63885201043654e-133;-0,882862307866478;0,875;0,995;4,74043375154821e-129
"Clca3a2";8,2979192691799e-132;-1,03003624817624;0,1;0,53;1,49063821751548e-127
"Sub1";2,84502502852567e-131;-0,806453098790506;0,902;0,989;5,1108029612435e-127
"C3";8,6133701475292e-130;-0,791625703971739;0,067;0,484;1,54730581330214e-125
"Plscr1";7,8931660335705e-125;-1,14640371708035;0,545;0,877;1,41792834627061e-120
"Igfbp2";5,6025965194726e-124;-0,993460638684558;0,131;0,567;1,00645043875806e-119
"Clic4";2,17745190812545e-123;-1,03512085306901;0,589;0,884;3,91157460775656e-119
