"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Cdk1";2,21137840886868e-210;-2,57562463614182;0,006;0,883;3,97252017369169e-206
"Pclaf";5,98187587822875e-202;-3,10556077404495;0,016;0,922;1,07458418276501e-197
"Top2a";3,96176367523581e-201;-2,71513263956615;0,008;0,864;7,1169122661936e-197
"Cdca8";5,36324705196153e-199;-1,99400296803847;0,013;0,893;9,6345370041437e-195
"Cdca3";6,62564667300909e-199;-1,97082781140059;0,006;0,835;1,19023116833935e-194
"Racgap1";1,7623032166103e-197;-1,5238092486354;0,003;0,806;3,16580149831874e-193
"Pbk";2,91937574796386e-197;-1,65512124643427;0,002;0,796;5,24436659364228e-193
"Spc24";3,83441031987126e-192;-2,17001919209568;0,025;0,942;6,88813469861674e-188
"Birc5";4,43115306574231e-188;-2,38238521011779;0,019;0,893;7,96012336729948e-184
"Lockd";4,93975074681427e-185;-2,08410810863711;0,012;0,835;8,87376824157715e-181
"Mki67";2,25606771012961e-173;-2,05588741082585;0,023;0,864;4,05280003447683e-169
"Ccnb2";4,54244747996473e-170;-1,75257512042507;0,006;0,728;8,16005265300864e-166
"Hmmr";1,16300956633648e-169;-1,66437541257904;0,005;0,718;2,08923038496686e-165
"Melk";1,63587179043424e-168;-1,0803461108582;0,001;0,68;2,93868008433606e-164
"Ube2c";2,74766730520744e-166;-3,1335299038978;0,017;0,796;4,93590954707464e-162
"Ccnb1";5,48639301905502e-166;-1,56008929952486;0,001;0,67;9,85575641943043e-162
"Tpx2";2,07053562295579e-165;-1,47878882362748;0,02;0,825;3,71951019307778e-161
"Cenpm";5,37927391756454e-164;-1,35712762717668;0,017;0,796;9,66332766551293e-160
"Cdc20";7,61537747802542e-164;-2,30743280466893;0,012;0,757;1,36802641015249e-159
"Cenpe";1,67479651375262e-161;-1,55682704068769;0,005;0,689;3,00860445730521e-157
"Cenpf";2,91226493912221e-161;-2,1397134221257;0,009;0,728;5,23159273663914e-157
"Ccna2";1,79977670116675e-153;-1,24612806683721;0,003;0,641;3,23311886597596e-149
"Incenp";1,88375716827007e-152;-1,35593207584195;0,022;0,786;3,38398137708036e-148
"Kif11";1,47314462223055e-151;-1,29188195276386;0,01;0,699;2,64635699937495e-147
"Anln";1,16614335929174e-150;-0,948786406624919;0,001;0,612;2,09485993063168e-146
"Tacc3";5,26214971633893e-147;-1,50540144855892;0,035;0,835;9,45292575043125e-143
"Cenpp";5,88536536568758e-147;-1,05782924160609;0,02;0,757;1,05724703429212e-142
"Smc2";1,94575146183243e-146;-2,16399235826241;0,058;0,922;3,49534792603579e-142
"Ska1";1,140732547303e-145;-0,905956510084862;0;0,583;2,0492119479751e-141
"Nusap1";1,19744155308801e-145;-1,23697428968705;0,001;0,592;2,1510840059673e-141
"Kif23";3,60965471574007e-144;-1,56591772322345;0,024;0,767;6,48438373135545e-140
"Shcbp1";4,74153353998436e-143;-1,14795459066174;0,012;0,68;8,51769085122791e-139
"Kif15";2,75219706154235e-138;-0,900613189010552;0,004;0,592;4,94404680135468e-134
"Ect2";2,94108592458608e-136;-0,927543713671792;0,006;0,602;5,28336675492644e-132
"Iqgap3";1,21872218775617e-135;-0,829199311100824;0;0,544;2,18931253808518e-131
"Esco2";1,45807171186141e-135;-1,18252650566467;0,001;0,553;2,61928002318784e-131
"Ckap2l";9,0365167136415e-135;-1,30148429181957;0,024;0,728;1,62331986243856e-130
"Aurkb";4,00636993089301e-133;-0,88335508114773;0;0,534;7,19704294385621e-129
"Diaph3";7,4345787507248e-132;-1,31207601453653;0,033;0,767;1,3355477267802e-127
"Tk1";1,13275256701305e-130;-1,02809854888215;0,009;0,612;2,03487671138225e-126
"Nuf2";1,21345275014383e-130;-0,789232903783179;0;0,524;2,17984652035838e-126
"Knl1";2,43519668049003e-128;-0,870398575963544;0,004;0,553;4,3745873168323e-124
"Spc25";4,89677275238885e-127;-1,10978781502395;0,015;0,641;8,79656257239133e-123
"Ndc80";8,95416563387846e-126;-0,889124108958602;0,005;0,553;1,60852631446993e-121
"Ncapd2";1,4849688614412e-122;-0,824944710413695;0,013;0,612;2,66759806269297e-118
"Mad2l1";5,81070309930104e-120;-1,23306389846041;0,041;0,757;1,04383470475844e-115
"Hist1h1b";6,67012659391053e-120;-2,15784447814958;0,023;0,66;1,19822154133009e-115
"Kif20b";2,52480642315022e-119;-0,955213299416374;0,006;0,544;4,53556225854706e-115
"Ckap2";4,11089556475087e-119;-1,39658989229677;0,042;0,757;7,38481279251847e-115
