"";"id";"module";"supermodule";"dim_1";"dim_2"
"11113";"9330175E14Rik";"19";"1";-4,8107058339192;-1,65955993504027
"11114";"Zfp65";"4";"1";3,42727620076403;0,906256690912453
"11115";"Foxj1";"5";"1";-0,547682934291513;-3,13607667357424
"11116";"Gm43260";"1";"1";-1,35971086550489;-0,860283598012718
"11117";"Zfp994";"10";"1";2,30252677869066;0,547807947092263
"11118";"Cstf1";"4";"1";2,54075700711474;1,06580521195432
"11119";"Zbtb39";"6";"1";-3,48926084566847;0,472333088808266
"11120";"Top3a";"10";"1";2,30317313145861;0,537859693460671
"11121";"Dll4";"10";"1";1,93792802762255;-0,466372593946251
"11122";"6030458C11Rik";"7";"1";2,65373761128649;-0,7878727164934
"11123";"Gm48162";"13";"1";1,45796389054522;-1,39515764982203
"11124";"Rbks";"7";"1";3,61617643307909;-1,47910887346366
"11125";"Ccne1";"17";"1";-1,40402656126753;-1,78924752742747
"11126";"Gm4208";"19";"1";-4,22471254397169;-2,34062711865404
"11127";"Fndc10";"22";"1";6,49326784085497;0,0922088774969256
"11128";"Sema4d";"1";"1";-2,18853991556898;-0,19923780829409
"11129";"Stk35";"13";"1";0,60336101721987;-1,4106712263892
"11130";"Elmod2";"2";"1";-3,54338043261305;-1,79659955174425
"11131";"Elmo3";"4";"1";3,05694086026415;1,95212341874143
"11132";"Tatdn1";"3";"1";0,785066611282675;1,22815395920774
"11133";"Fgf18";"2";"1";-3,51182930994764;-1,81973414093951
"11134";"F8a";"8";"1";-1,07911186743513;1,50089956849119
"11135";"Leng9";"13";"1";1,13297910165056;-1,20533157855967
"11136";"Fhod1";"10";"1";1,91096634339556;-0,736099525995048
"11137";"Gm49336";"1";"1";-2,08027904558912;-0,250887140340599
"11138";"Nprl2";"10";"1";2,65582425069079;0,545454994135109
"11139";"Ints9";"7";"1";2,8725126452373;-0,911993547982963
"11140";"Tmem68";"8";"1";-2,67788618136183;0,861800924234597
"11141";"Fam149a";"19";"1";-3,72794979143873;-2,49124334723452
"11142";"Ldah";"3";"1";1,34320384930834;1,19236637681028
"11143";"Gm15533";"11";"1";5,38059265088305;1,42557837098142
"11144";"Sun1";"1";"1";-1,48684936095014;-0,59286276967028
"11145";"Gm44982";"16";"1";-4,36760252047315;-4,34275339514712
"11146";"Calr3";"5";"1";-1,17110961008802;-3,62592957884768
"11147";"Ern1";"10";"1";2,20025069188341;-0,685820385522636
"11148";"Sfxn2";"4";"1";3,72847277592882;1,80593444436094
"11149";"A630089N07Rik";"1";"1";-2,36282389689222;-0,196032270498069
"11150";"Hexim2";"15";"1";3,10724861096605;2,91447903244993
"11151";"Gm35161";"7";"1";3,52624828290209;-1,77774529129961
"11152";"Otulinl";"18";"1";-5,4089724354817;-0,472900733060631
"11153";"Eri3";"3";"1";1,34086257886156;1,19705130188963
"11154";"Gm5820";"7";"1";4,32356435727343;-1,88490997225741
"11155";"Meak7";"4";"1";3,30676943730578;0,935051456384865
